,cluster,review
0,14,the only positive thing about this is using it at low volume. the range is not there.  the bluetooth is decent. the line in option did not work.  if i could have found the receipt i would have taken it back.  i will use it at work since it functions best at low tone. but honestly. my iphone 8 is right behind it speaker quality wise and my sonos speakers all blow this out of the water on every level.  it just can not compare to them yet. .  i am rather disappointed with this amazon device..
1,14,"app on i phone does not work, cannot delete it, information on amazon does nothing....frustrated"
2,6,"the sound is unbelievably good; however, i have found that when asking to raise the volume, it does not raise the level but a trivial amount in some instances. overall, a fun and great product."
3,4,family loved it!
4,7,"i enjoy my echo it is very satisfying, thank you amazon."
5,7,love my alexa! in fact i have two! i often wish she could go in the car with me too!! haha
6,7,i like everything about my new echo.  the sound is beautiful.
7,7,i love it!
8,6,i love the new echo 2nd generation. it is slot more compact and the sound is really clear!  i highly recommend this to everyone.
9,14,"echo is fine once (if) you get it programmed.  programming is a nightmare.  you have to call their support (india) and deal with people who are reading it from a manual.  echo support tried to help me sync my calendars with alexa.  after 45 minutes on the phone, they could not do it and had corrupted my i-phone, ipad, and macbook air.  they said, ""sorry, we can not help you now.  it is an apple problem!""  4 hours with apple support and still not resolved.  alexa, you are not ready for the public yet!  too many glitches if you want anything they promise other than the very basic stuff!"
10,14,"needs to have amazon music unlimited for full function...... not just prime, be ready to shell out more $$$ per month. wish i knew this before purchasing. amazon was clever in offering amazon music unlimited for a few dollars for 3 months. not too far out from purchase time to return."
11,7,i am very disappointed. my fist echo is so much better. the sound quality is poor.
12,7,i love the sound and all that i can do with the echo.
13,4,love it!
14,14,when i first received it as a gift for christmas i was happy and a couple weeks after having it she just started going off on her own even if we do not call her...i¡¯m thinking she might have a lil glitch but other then that i love it
15,7,everything i hoped for.  i love how it controls my smart home.
16,14,i am still new at it but i am enjoying both products
17,14,its not wireless.
18,7,great sound and all the great echo features all in one!
19,4,perfect helper for forgetful minds!
20,14,yes i just love it i use it at my office. it helps me with tasks and music. i just love it!
21,7,i love it
22,6,sound quality
23,7,i like everything about it.  there are so many features to it that we have not even explored yet!
24,7,"so far, i can ask what day it is and what time it is.apparently i must become a prime member to use the full features of this device."
25,14,"so far i am enjoying trying the different features - the sound quality is great for music.  the volume on the alarms (alexa, set a  timer for 10 minutes) is almost inaudible.  i have to figure out how to raise this volume level.  but, so far so good!"
26,14,my grandson enjoyed his echo
27,7,"started off great, but out of nowhere the sound started being fuzzy and poor quality. nothing i did to remedy the situation seemed to work. real bummer."
28,14,"purchased this item to be used by an 87 year old woman with macular and neurological problems due to a stroke. the installation was so easy and not only does she now know what day it is, thank you alexa, she calls her family and friends and does not reach the wrong party, with just a voice control. thank you amazon for such a great product."
29,7,so easy to get started.
30,7,it is great we love it!!
31,14,"first the bad news---setting it up is challenging!  the good news---love it!!!  sound quality and amplification are better than we predicted.  in the short time we have had it, we have really enjoyed it!"
32,14,"i¡¯ve had echos since they first was launched. i also have two echo shows as well. have one in every room. love them all. use them many times a day. would now be lost without them. helps in so many daily task. love the hands few making shopping list, baking and doing multiple timers. adding app to calendar by voice. listening to any music the suits you mood. i use them with smart lighting, and smart plugs..etc. it is a buy, that you¡¯ll never know how you did without. and it is easy to set up, and as always amazons customer service is  phenomenal."
33,7,i was very impressed with the sound that was what i like the most there was really nothing i had like the lease about the system
34,7,"the echo has been really great so far. super convenient to find out information or play music just by asking it to. the only issue i have had is some times when i ask it to look up some information, the answer it gives me is completely unrelated."
35,7,"she is a great digita assistant but in order to use her full potential, you must have a lot of smart features, but she is fun and easy to use.  i love her jokes and flattery."
36,7,everything the temperature out side music anything you ask she replies my kids love it to
37,7,"the speaker is stylish and has great sound.  i use it daily for music, checking schedules, and answering questions.  i am eager to start using smart devices with it next."
38,7,as advertised. love it!
39,7,works as advertised.
