,cluster,review
0,14,"amazing product. the accuracy recognizing what i say is extremely good. been using it mostly for news and music in the morning, and to impress friends when they come. want to set up some iot lights that i can use voice control on but they are too expensive at the moment. if you have a chrome cast you will never have to search for videos again because you can just find them with your voice and it integrates flawlessly. the speaker is surprisingly very robust. 

only negative for me is having to say ""hey google"" every time. it is not as smooth as saying a name like alexa."
1,14,"i have had my google home for about 3 weeks and have been very happy with it.  setup was a breeze and could have been done by anybody.

// pros / difference from echo:
- #1 major difference. google home can handle different grammatical structures and syntax for the same question.  simple example: what is the capital of norway? = which city is the capital of norway? = what is the norwegian capital?  i find this really good for family and friends because -- unlike with alexa / echo -- we do not have to learn how to exactly verbalize every ¡°skill¡±.  google home allows us to speak naturally without us having to learn its own language.
- the above ability combined with google home is awareness of context helps it with some complicated questions like: me: ok google. what is that song from the lion king?  > google home: the songs are circle of life and ¡¦ > me: ok google. play it please > google home: sure. playing circle of life. = wow. note that i did not even mention the song.
- #2 major difference is multi-room audio!!  i have got two google home devices and two chromecast audio devices ($35 each) in my home, and i labeled the group as ¡°entire home¡±.  so i can say: ok google.  play arianna grande in entire home.  echo is unable to do this (yet?).
- the ¡°good morning¡± / ¡°my day¡± feature is really neat on google home. it tells me in one pass about the weather, traffic to work, my appointments, and rounds up with news from my favorite sources.
- works flawlessly with chromecast devices.  example: ok google. play a funny cat video from youtube on the living room chromecast > then google plays it on chromecast, which triggers my living room tv to show the video
- there are some customizable bases that are better suited to your home decor.  however, these are a little pricey for fabric and metal.  nonetheless, google home is very soft and unassuming in its design whereas  echo feels very industrial to me personally.

// pros / similarities with amazon echo: 
- the far-field mics work well and can pick up voices from across the room without having to yell.
- the speaker quality is very good.
- works well with google play music, spotify, youtube, etc.  but google home does not work with amazon music (yet?).
- connected home - works well with philips hue lightbulbs and nest thermostat.  i have not tested out other brands like lifx, wemo, etc.  i do think echo has more connected home applications because it is been in the market longer, but i do not use those other services at this time.
- set reminders, timers, get recipes, get directions, call an uber
- there are lots of ifttt (third party app -- try it out!) routines that can be built.
- the google home app is very easy to use.

// minor cons
- you do have to say ¡°ok google¡± to prompt the device.  however, this is no different than saying ¡°alexa¡± for echo.  the pro i seen in this is related to privacy -- i do not want the device to respond to anything my family is talking about unless we specifically want to interact with it.
- only the top of the google home device has a light indicator to show when it is listening.  so if you have got this on your kitchen counter and you are seated on your couch (at a lower height), you may not see the lights.  echo overcomes this with the light ring around the device.
- the google home device can not be used as a speakerphone or be used to make phone calls. 
- saying ok google also triggers my phone.  i would like the ability to choose the device with which i want to interact.

// major cons:
- there can only be one user profile! so i can get a run down of my day, but my girlfriend can not get hers; we can only hear my services but not hers.  to be fair, this is not that different from echo, but it is a little annoying.  this seems like the next step for both google and amazon.

overall, i think google home is an excellent product, and i look forward to seeing more services being made available."
2,14,"the google home is a well built voice activated speaker that sounds pretty good and is useful for many things, specifically the google home is quite useful for setting alarms and timers, and i have been getting up in the morning more consistently than i had been before i received my google home.
the google home is able to play at volume levels that are plenty sufficient for most situations. 
if you choose to buy a google home, after connecting it to your internet connection, then it is best to download the google home app for android or apple, then locate and optimize all the settings to get the best experience using the google home. in the settings there is a setting called accessibility, it allows you to turn on the option to play an audible sound, which indicates when you should speak your verbal request. this means that after you say ok google, you will then hear an audible beep, so you will know exactly when to speak your request, without this accessibility sound option turned on, it is necessary to be looking at the google home device when saying ok google, so that you can see the lights on the top of the google home light up, of which the lights indicates that you should then speak your request. it is basically easier to say ok google and hear an audible beep indicating when to speak your request, than it is to say ok google and have to be looking at the device to see the visual indicator to know when to speak your request.
the google home app has the option to add your home address, which is necessary for the google assistant to provide your weather requests, as the google home needs to know the location of the weather that you are desiring.
the google home app allows you to set a desired music playback source, and also allows you to create a list of your desired news sources, allowing you to customize the news that you can hear playing through the google home.
newer versions of the android operating system have the built in options of allowing the google assistant to be always listening, so that you can say ok google, and then you can make a verbal request, the same way that the google home does, but using the google home device is a much better experience. the two microphones on the google home pick up your voice noticeably better than the microphone on a smart phone.
the google chrome web browser has apps and extensions that can be installed, which add interactivity with your google home device. do a google search for chrome web store, and it will bring up the website where you can search for and install the available google apps and extensions.
the google keep app for google chrome, allows you to create a shopping list that can be used with the google home assistant, just create a shopping list in the google keep app, then ask the google home assistant: what is my shopping list, then the assistant will verbally remind you of all the things on your shopping list.
the google keep app can be downloaded for android or apple and can be installed on your smart phone, allowing you to create shopping lists the same way.
the google calendar extension for google chrome, allows you to quickly add calendar entries, then you can ask the google home assistant: what is on my calendar, and the assistant will verbally remind you of your calendar events.
the google cast extension for google chrome, allows you to see which song pandora is playing, this extension allows you to pause music playback and also adjust the volume level, all of this from the google chrome browser.
below is a list of verbal requests that the google home can be used for:
what time is it
set an alarm for 7 am, set a timer for 30 minutes (multiple timers and alarms can be set)
stop alarm, stop timer, stop all timers, stop all alarms
what is today is weather (your local weather will be read if your address has been set)
what is the weather in ventura, california (any city and state can be requested)
what is the humidity (your local humidity will be read if your address has been set)
is wal-mart open, is best buy open, is jack in the box open, etc..
what is on my calendar (calendar events must be added first in google calendar)
add orange juice to my shopping list, add bananas to my shopping list, etc..
what is my shopping list
play music, pause music (music will play from your chosen default music source)
play google play music (use this if pandora is default music source)
play pandora music (use this if google play music is default music source)
play news, pause news (news will play from your chosen list of news sources)
turn up the volume, turn down the volume
volume level 4, volume level 6, volume level 3, etc.. (volume levels 1 - 10)
what is the volume
the google home voice activated smart speaker, allows adding philips hue lighting control, it is necessary to synchronize the google home device with the philips hue bridge, this synchronizing is done in the settings of the google home app on an android or apple device, once this is setup, all of the following can be said to control philips hue lighting. 
turn lights on 10 percent, turn lights on 50 percent, turn lights light blue (daylight), turn lights white (warm white), turn lights red (great for movie lighting, or night lights), dim lights, turn lights on 100 percent, turn lights off.
the google home has a really nice power supply, which has a silicone strap that wraps around the cord. a quality power supply always adds to making an electronic device have a luxury feel to it.
my overall opinion of the google home assistant, is that owning and using the google home has made life more convenient."
3,14,i ordered this because i had seen it advertised and thought it would be fun and could be helpful too!  i have a lot to learn yet but i have used it for music and playing games! you can ask it anything of course! this is the future and it is already here in my house! i think everyone should have a google home.!
4,14,"it is pretty much like having the power of the internet, without having to type. you just ask..."
5,14,"i think that amazon is echo (alexa) need a bit of competition; however, alexa is leaving the rest of them behind. until google ""catch up"" with as many apps as amazon & partners are offering i am afraid ""google home"" is going to be left behind.
amazon is echo (alexa) debued a few years ago...and already is in a class by itself.
alexa can control residential lights, thermostats, lock & unlock doors to the residence, set burgular alarm, turn on the (water) irrigation sprinklers, turn your vehicle on (get it all warmed up for you during cold harsh weather...defrost the windows), she will let you know if you are low on fuel, oil and break fluid! she can even order pizza or a uber ride for you! lol 
she can place orders on amazon for you (especially repeat orders such as computer essentilas-like printer ink. she can also make a ""to do"" list for you, a grocery list, a events calendar, etc. alexa can help children with homework, she reads books  and play numereous mind games & music. she has a great, vast resource that she utilizes. she grows every day; therefore, she is always up on current events & data!!!
she gives the forecast for the day ""or"" an entire week. she is quite accurate with the weather (have not made a mistake with me yet)! ;-d she can give you transportation schedules for ""local"" buses, bart, etc. alexa can book entertainment venues for you (such as stubhub, etc.), reserve the tickets, etc. let you know what is going on in entertainment industry or whats showing at the theater/cinema. she also knows what is happening in your territory-specials events, galas, plays, shows, tours, festivals, art exhibits, musicals, ballet, etc. she also keep you ""updated"" with sports, current & past events. she is current with political & world news. she has an app that allows her to recite requested recipes, etc. (this app is growing daily). she is also an alarm, and has a ""reminder"" timer! you will never be late for events, picking up the kiddies from soccer practice and you will never burn that cake again! :-d
yeah, alexa is wowesome. 

google has a lot to catch up to! ;-d

 if they get the software engineers and people that just love making apps, then ""google home"" will give amazon alexa (echo) a challenge. i am sure both products utilize far-field voice recognition (this allow the units to accept voice commands from across the room). the speakers on echo are so superior. i can hardly believe the ""sound"" that comes from this 9-inch product.

amazon has also released their ""portable"" version of echo, it is call ""echo tap""...you tap the button on the front and she can do everything that the ""home stationed"" echo (alexa) can do. amazon is ""echo tap"" is great for people on the go! it is shorter and is protected with a sling (rubber) casing (cost extra, a lot of assorted colors to chose from, there is also a ""travel"" pouch available). amazon is echo tap utilizes (both) wi-fi & bluetooth...it charges on a small disc (very cool looking). it last about 12 hrs. on a single charge. you can also ""charge"" with your usb port on laptaps, etc.
additionally, amazon has another fine product call, ""echo dot""! 
dot is smaller and can be hooked up to ""any"" sound/stereo system(tv ???)...and it will actually allow the system to receive voice commands. pretty cool. it is 1/3 the size of amazon is echo, (which by the way is the perfect height & size...9-inches x 3-inches diameter, weigh about 37 oz., cost $179.99, but you can get it for $149. amazon promotion period). amazon prime members purchase was only $99.00 (but, i think that ended a couple of years ago). amazon was offering ""echo"" for the special debut retail price to get the ""buzz"" going for their product at the time.
i am not sure if google home promoted their product in such a manner. but, i must say that the $129.00 price point is not to bad, ""if"" google home offers a zillion apps to make it work like amazon is echo (alexa). hum....

amazon is echo, amazon is tap & amazon is dot is here to stay, i.e. until we get our robots & jet packs! ;-d then they will become ancient...a thing of the past! lol
*p.s. my family & i enjoy google brand products, as well; therefore, we are looking forward to seeing what they do with  ""google home"" in the future (2017-2018).
this is going to be a lot of fun...let the race begin...so far amazon is echo (alexa) is in the lead!"
6,14,"google home has a long way to catch up to alexa. i have been using alexa for a year now and also echo dot. i use android on my phone so i thought i would give google home a try and if it worked out ok i would get rid of alexa. big mistake.
i am glad for walmart is return policy since i was very displeased with the google product. i imagine in the future they will catch up to alexa but no where near what alexa can do now.
another thing, the alexa voice is so much more soothing to hear and listen to. i like the fact that i can send messages to my wife is phone or have alexa call her without searching for my phone. alexa tells me when i have a shipment coming from amazon. i know google home is linked to walmart.
even when i set an alarm or timer, google has a horrible ringing sound where as alexa has a nice pleasant chime.
 i asked google to do several things and it usually says sorry, i cannot do that yet. i will stick with my alexa for now and wait a couple of years for google to try and catch up. until then, i took the google home and minis  back to the store."
7,14,"we love our google home and regularly use it at the dinner table, by placing piano music (with our toddler in mind).  it is been fun to watch our 16 month-old son learn about google and he can even now say ""google"".  we play music, turn on and off lights, and occasionally ask about weather and news.  the price at $99 is a steal and a lot less than we paid for.  i, personally, do not trust amazon, and would shy away from using alexa, since amazon will heavily market to you, based on everything you do, and probably even the conversations you have in the background.  i feel much safer with google home than i do with amazon.  at any rate, this is a really wonderful device and i hope that google will partner with more companies as time goes by so that we will have more options to choose from.  the sound quality is great, by the way."
8,14,"i do not know what i did without my google home. this is great when cooking and you need to know how to convert measurements, just ask google! google will help you with many tasks like that throughout the day. she will even tell you jokes and more. you can almost have a conversation with her. google has also helped my granddaughter to speak more clearly. when i first got google home, she did not speak real clear, but she wanted google to listen to her so she has come a long way with her speech. google now listens and understands what she says (normally she is asking google to play songs from the frozen soundtrack). i am buying her a google mini for christmas this year and am sure she will be so excited to have her own google. we play a lot of music on google and it really sounds great. i have had google home for almost a year now and i still love it."
9,14,"i have had google home for 1 year now. i liked it so much, i bought 2 more for my house, and gave them to my kids for christmas this year.  you must have wi-fi and download the google home app on your phone or ipad.  then all you do is plug it in and follow the directions and within 2 minutes it is hooked up. you can decide between a male or female voice. i use her so much, that when i am not at home, i am talking to her out loud and look crazy---lol.  my favorite is to add things to the shopping list and it is always on your phone, listening to music, listening to sounds of nature at night to go to sleep to, she has an alarm, the kids play trivia games with her, i add things to my calendar and she will tell you what you have going on today. if i am cooking and forget something in a recipe or how hot the oven should be, she will find the recipe for me. my kids ask her to tell them a story and she reads books to them. she gives directions, weather, shops for you, turns netflix on, wakes me up in the morning. to be honest, she feels like one of the family.  since my work is all on gmail and google calendar, presentations, etc. this was the best option for us. the speaker is fantastic. i have both the mini and the large one. they are identical except larger one has better speaker.  
just buy it.  it will be the most used item in your house."
