,col
0,amaze
1,product
2,accuracy
3,recognize
4,say
5,extremely
6,good
7,use
8,mostly
9,news
10,music
11,morning
12,impress
13,friend
14,come
15,want
16,set
17,iot
18,light
19,use
20,voice
21,control
22,expensive
23,moment
24,chrome
25,cast
26,never
27,search
28,videos
29,find
30,voice
31,integrates
32,flawlessly
33,speaker
34,surprisingly
35,robust
36,negative
37,say
38,hey
39,google
40,every
41,time
42,smooth
43,say
44,name
45,like
46,alexa
47,google
48,home
49,3
50,week
51,happy
52,setup
53,breeze
54,could
55,do
56,anybody
57,pro
58,difference
59,echo
60,1
61,major
62,difference
63,google
64,home
65,handle
66,different
67,grammatical
68,structure
69,syntax
70,question
71,simple
72,example
73,capital
74,norway
75,city
76,capital
77,norway
78,norwegian
79,capital
80,find
81,really
82,good
83,family
84,friend
85,unlike
86,alexa
87,echo
88,learn
89,exactly
90,verbalize
91,every
92,skill
93,google
94,home
95,allows
96,u
97,speak
98,naturally
99,without
100,u
101,learn
102,language
103,ability
104,combine
105,google
106,home
107,awareness
108,context
109,help
110,complicate
111,question
112,like
113,ok
114,google
115,song
116,lion
117,king
118,google
119,home
120,song
121,circle
122,life
123,ok
124,google
125,play
126,please
127,google
128,home
129,sure
130,play
131,circle
132,life
133,wow
134,note
135,even
136,mention
137,song
138,2
139,major
140,difference
141,multi
142,room
143,audio
144,get
145,two
146,google
147,home
148,device
149,two
150,chromecast
151,audio
152,device
153,35
154,home
155,label
156,group
157,entire
158,home
159,say
160,ok
161,google
162,play
163,arianna
164,grande
165,entire
166,home
167,echo
168,unable
169,yet
170,good
171,morning
172,day
173,feature
174,really
175,neat
176,google
177,home
178,tell
179,one
180,pas
181,weather
182,traffic
183,work
184,appointment
185,round
186,news
187,favorite
188,source
189,work
190,flawlessly
191,chromecast
192,device
193,example
194,ok
195,google
196,play
197,funny
198,cat
199,video
200,youtube
201,living
202,room
203,chromecast
204,google
205,play
206,chromecast
207,trigger
208,live
209,room
210,tv
211,show
212,video
213,customizable
214,base
215,well
216,suit
217,home
218,decor
219,however
220,little
221,pricey
222,fabric
223,metal
224,nonetheless
225,google
226,home
227,soft
228,unassuming
229,design
230,whereas
231,echo
232,feel
233,industrial
234,personally
235,pros
236,similarity
237,amazon
238,echo
239,far
240,field
241,mics
242,work
243,well
244,pick
245,voice
246,across
247,room
248,without
249,yell
250,speaker
251,quality
252,good
253,work
254,well
255,google
256,play
257,music
258,spotify
259,youtube
260,etc
261,google
262,home
263,work
264,amazon
265,music
266,yet
267,connect
268,home
269,work
270,well
271,philip
272,hue
273,lightbulbs
274,nest
275,thermostat
276,test
277,brand
278,like
279,lifx
280,wemo
281,etc
282,think
283,echo
284,connect
285,home
286,application
287,market
288,longer
289,use
290,service
291,time
292,set
293,reminder
294,timer
295,get
296,recipe
297,get
298,direction
299,call
300,uber
301,lot
302,ifttt
303,third
304,party
305,app
306,try
307,routine
308,build
309,google
310,home
311,app
312,easy
313,use
314,minor
315,con
316,say
317,ok
318,google
319,prompt
320,device
321,however
322,different
323,say
324,alexa
325,echo
326,pro
327,see
328,relate
329,privacy
330,want
331,device
332,respond
333,anything
334,family
335,talk
336,unless
337,specifically
338,want
339,interact
340,top
341,google
342,home
343,device
344,light
345,indicator
346,show
347,listen
348,get
349,kitchen
350,counter
351,seat
352,couch
353,low
354,height
355,may
356,see
357,light
358,echo
359,overcomes
360,light
361,ring
362,around
363,device
364,google
365,home
366,device
367,use
368,speakerphone
369,use
370,make
371,phone
372,call
373,say
374,ok
375,google
376,also
377,trigger
378,phone
379,would
380,like
381,ability
382,choose
383,device
384,want
385,interact
386,major
387,con
388,one
389,user
390,profile
391,get
392,run
393,day
394,girlfriend
395,get
396,hear
397,service
398,fair
399,different
400,echo
401,little
402,annoy
403,seem
404,like
405,next
406,step
407,google
408,amazon
409,overall
410,think
411,google
412,home
413,excellent
414,product
415,look
416,forward
417,see
418,service
419,make
420,available
421,google
422,home
423,well
424,built
425,voice
426,activate
427,speaker
428,sound
429,pretty
430,good
431,useful
432,many
433,thing
434,specifically
435,google
436,home
437,quite
438,useful
439,set
440,alarm
441,timer
442,get
443,morning
444,consistently
445,receive
446,google
447,home
448,google
449,home
450,able
451,play
452,volume
453,level
454,plenty
455,sufficient
456,situation
457,choose
458,buy
459,google
460,home
461,connecting
462,internet
463,connection
464,best
465,download
466,google
467,home
468,app
469,android
470,apple
471,locate
472,optimize
473,setting
474,get
475,best
476,experience
477,use
478,google
479,home
480,setting
481,set
482,call
483,accessibility
484,allow
485,turn
486,option
487,play
488,audible
489,sound
490,indicate
491,speak
492,verbal
493,request
494,mean
495,say
496,ok
497,google
498,hear
499,audible
500,beep
501,know
502,exactly
503,speak
504,request
505,without
506,accessibility
507,sound
508,option
509,turn
510,necessary
511,look
512,google
513,home
514,device
515,say
516,ok
517,google
518,see
519,light
520,top
521,google
522,home
523,light
524,light
525,indicate
526,speak
527,request
528,basically
529,easy
530,say
531,ok
532,google
533,hear
534,audible
535,beep
536,indicate
537,speak
538,request
539,say
540,ok
541,google
542,look
543,device
544,see
545,visual
546,indicator
547,know
548,speak
549,request
550,google
551,home
552,app
553,option
554,add
555,home
556,address
557,necessary
558,google
559,assistant
560,provide
561,weather
562,request
563,google
564,home
565,need
566,know
567,location
568,weather
569,desire
570,google
571,home
572,app
573,allow
