,cluster,review
0,14,"so it is been an interesting first few weeks with the echo and am happy to say echo 2nd gen has finally delivered on its promise of improved sound quality over 1st gen echo, with the 3rd firmware since launch.  if you are confused about a lot of the negative reviews, old firmware is the likely cause of most of them regarding poor sound quality.want to keep this short and spare all the gory details, but there was a bug in the launch version of the firmware, which was fixed after a few days, but the first fix, while satisfying some, was not, in my opinion a full fix and left the mid-range frequencies muted and tinny.  today i noticed that alexa is voice in this unit sounded much more like alexa is voice on gen 1 echo is i own and, after playing some music, suspected they had upgraded the firmware again, and indeed they have.  the current firmware is 592452720 and it is a massive improvement over both the original and updated version 592452420.so i decided to do some more side-by-side comparisons with the gen 1 echo and can honestly say in many areas the sound quality is now actually better than gen 1 echo.  this is how the product should have sounded at launch! if i have any complaints at this point it is that the low-frequencies loudness could stand to be bumped up just a tad.  (better yet, please add an eq feature to the alexa app so users can adjust eq for the room and music type they prefer).  i did my comparisons at volume level 8.  anything above that and gen 1 echo dynamic range starts to break down, while gen 2 maintains quality but does not get quite as loud and gen 1.  it is the right trade off, i would rather it sound good than be louder and sound harsh.  at that volume level i went thru a range of music, streamed over bluetooth, switching between gen 1 and gen 2 devices, and found gen 2 to be an improvement over gen 1 for the vast majority of the music i tried.  i¡¯m impressed with the quality of the audio coming out of this form factor, and impressed how quickly amazon has responded to feedback on the problems. kudos, this echo is a keeper."
1,14,"---------------------------update 11/4/2017---------------------------after all the negative reviews and feedback on the poor sound quality of the 2nd generation echo it appears that amazon has taken quick steps to help remedy the issue.  i spoke with an amazon representative on the phone who confirmed that there has been a software update which is rolling out to echo devices.  after getting the update my echo does indeed sound better!  i still would not call it audiophile-quality by any means, but the bass is fuller and the sound is less ""tinny"" overall.to check which software version you have, select ""settings"" on your alexa phone app, choose your echo device, then scroll down the page to where it says ""device software version.""  the updated version (as of 11/4/17) is 592452420 (previously it was 592452320).you do not have to do anything to get the update; it will be sent automatically by amazon.  you may see the indicator light on your echo will pulse blue as the update is installed.  the representative i spoke with said you may get it more quickly by not using your echo for several hours.  i hit the mute button on mine and received the update within a few hours.  i am very impressed by amazon is quick response to this issue!-----------------------------original review-----------------------------as a very happy owner of three echo dots (2nd generation) i was glad to see amazon release a 2nd generation of the echo as well.  after using it for several days i can say i am quite pleased with it, and even though it does not have any radical new features compared with the 1st generation echo or the echo dot, there are some notable improvements.  i will summarize these differences first and then describe the new echo in a bit more detail.improvements over the echo 1st generation:- more color and texture choices- a swappable outer shell- ability to output audio to another device or stereo system via bluetooth or an auxiliary cable- dolby-powered speakers- significantly lower price!differences from the echo dot (2nd gen):- larger size and swappable outer shell (these are probably obvious)- 2 speakers (tweeter and woofer) vs. 1- power adapter sits flatter against the wall---------------------------overall appearance---------------------------i purchased the ""heather gray fabric"" version.  the cloth is a polyester woven fabric made up of lighter and darker shades of gray which certainly gives it more visual interest than if it were just a solid, uniform gray.  the neutral color blends in with nearly any decor, and the cloth gives it a softer look which is great for areas of your house where you do not want something that screams ""i am a device!""in terms of size, the echo 2nd generation is almost the same diameter (3.5"") as the 1st generation echo (3.3""), but it is several inches shorter.  to me the original echo looked like a tower; this shorter version is much less ostentatious.the top of the device is identical to the 2nd gen echo dot: it has four buttons (volume up, volume down, microphone off, and an ""action"" button), a multi-colored light ring around the edge that tells you about the echo is status, and seven tiny holes below which the microphones sit.a new feature of this echo is its swappable decorative shell.  simply press a button on the underside of the device and the shell slides right off, allowing you to replace it with any of the other shells that amazon sells.  i am not sure how many people will take advantage of this feature given that additional shells are $20-30, but it could be useful if you want to change your echo is look to match a different location in your home.a final note on appearance: the power adapter for the echo sits fairly flat against the wall, protruding maybe 1.5"".  by contrast, the dot is adapter sticks out from the wall 2-3 inches.  the flatter adapter of the echo is nice if you want to plug it into an outlet that is behind a piece of furniture.--------------------audio quality--------------------i did a side-by-side comparison of the 1st and 2nd generation echos, and despite the new dolby-powered speakers i did not notice a significant difference in sound quality with either music or spoken text.  i certainly would not call it ""room filling sound"" in any case.  clarity is not bad, but bass is nearly non-existent.  however, the real potential improvement in sound quality comes not from the speakers themselves but from a new feature for 2nd generation echo devices: using bluetooth or a 3.5mm auxiliary cable (not included), you can play the audio through a nearby speaker or stereo system.  yes, this does means you are using two devices to accomplish one thing, but in a sense it is no different than plugging any other sound source into your stereo system.  to be honest, i do not generally think of the echo primarily as a music playback device anyway other than for very casual listening (but i realize that puts me in a minority... admittedly i am a bit of an audiophile).compared with the echo dot, however, there is a noticeable difference in sound.  this should not be a surprise given that the echo has two speakers (a tweeter and a woofer) while the dot has only one.  to my ear the difference is not so much in clarity but rather in fullness.  with two speakers and a bit more acoustic ""heft,"" the echo is sound has more presence than the dot is, which to me makes it more tolerable to listen to for a period of time.  the difference is even more appreciable with music than with newscasts or other spoken text.-------------------------voice recognition-------------------------this is one area where i must confess i am disappointed.  like the 2nd generation of the dot, the echo 2nd generation uses seven microphones beneath its top surface to recognize voice commands spoken from any direction.  my wife and i both found this echo to be slightly less proficient at detecting our voices and recognizing vocal commands than our dots are.  we did side-by-side comparisons of the echo and the dot in several locations around our house and the dot was nearly always better at picking up our voices (and yes, we only had one plugged in at a time!).  i am not sure why this would be since both devices use similar technology, but the difference was pretty consistent.  one possible explanation i can think of is this: both devices have their microphone openings on their top surfaces, effectively pointing upward.  because the echo is taller than the dot, if you put both devices side by side and speak to them from several feet away, your voice will hit the dot is microphones at a slightly more downward (i.e., direct) angle than the echo is, which may help the dot pick up your voice better.  obviously i am only speculating here, but in support of this theory i have noticed that both devices have difficulty detecting my voice if i speak from below them (for example, if i am sitting on the floor and the device is on a table).-------------------functionality-------------------the bottom line is that overall functionality -- what the echo 2nd generation ""does"" -- is nearly identical to the 1st generation echo and the dot.  keep in mind that the alexa assistant software on which all echos operate is run on amazon is cloud, not your individual device.  this means that as amazon adds features to alexa they automatically become available on all echo devices.  so, you can use any of them to:- stream music via wifi from multiple sources- control smart home devices- make hands-free calls to other echo devices or phone numbers in north america- make purchases from your amazon prime account- listen to news feeds, podcasts, etc.- do anything else in alexa is ever-growing skill set, such as make shopping lists, set timers/alarms/reminders, play games, tell you your daily schedule, and any other skills amazon dreams up for alexa in the future.personally i have two favorite alexa skills: the flash briefing and the drop-in feature.  the flash briefing is fully customizable daily ""digest"" of news and other information which you can hear any time by asking ""what is my flash briefing?""  there is a huge list of content you can add to your briefing including news updates, weather forecasts, sports and traffic updates, and educational snippets along with many that are just humorous or entertaining.  using the alexa phone app or your echo account page you can select exactly what content you want in your briefing and in what order you want to hear it.  for example, i configured mine with npr news, bbc news, the weather, and a word of the day.  i love having an on-demand synopsis of the latest news from my favorite sources.my other favorite feature, ""drop in,"" essentially opens a two-way communication channel between any two echo devices, sort of like an intercom.  simply ask alexa to ""drop in on [the living room, the kitchen...]"" and you are instantly connected.  my wife and i use this feature all the time when we need to communicate from opposite ends of the house.  you can turn drop-in capability on or off for each of your echo devices individually, and you can also choose whether each device can drop in with any echo device or only those in your own home.[note that the drop-in feature is not the same thing as alexa is hands-free calling feature.  hands-free calling allows you to call most phone numbers and echo devices in the u.s., mexico, and canada from your echo by saying your contact is name or number.  just like with a phone call, the other person must choose to answer your call before you can communicate.  by contrast, with the drop-in feature communication is instantly established.  for this reason you will probably want to use drop-in only with your closest family and friends, and probably only for certain rooms in your home!] -----------------------------------a few (minor) complaints-----------------------------------unfortunately the echo 2nd gen shares an annoying trait of the echo dot: widely varying volume levels within the daily flash briefing.  as you listen to the briefing, some components (such as one america news) come through quietly while others (like fox news) are much louder.  i do not know whether this variability is due to differences in how each component of the feed is produced or whether it has to do with the device itself, but in any case i hoped the phenomenon would be less pronounced with the 2nd generation echo than it is with the dot.  unfortunately, it is not.  just be prepared to adjust the volume at the beginning of each segment.another complaint i have is the inability to listen to certain feeds outside of the flash briefing.  one america news is an example here: you can listen to the channel is live feed any time, but you can only hear the channel is ""top stories summary"" as part of your flash briefing.  this issue is probably more software than device related, but still, it bugs me.--------------a few tips--------------1) the echo seems to pick up voices best when placed at or below eye level (i.e., roughly the level from which your voice emits).  mine has trouble detecting voices coming from below it, so i do not recommend placing this on a high shelf.2) when you select news feeds for your flash briefing i recommend picking one u.s. source and one international source (i use npr and bbc - both are excellent).  if you add too many feeds you will get a lot of overlap and hear the same story several times.3) if you have multiple echo devices in your home, sometimes speaking to one will cause others to respond as well, especially if they are in close proximity (like in adjacent rooms).  one way to prevent this is to change the wake word of one of the devices to ""echo"" or ""amazon.""  the only downside is that you then have to remember which wake word you assigned to each device!4) some speakers have a bit of a ""burn-in"" period, so in an attempt to improve my echo is sound i left it playing music for much of the first few days i had it.  the sound did seem to improve a little, (the lower frequencies filled in some), but it is still not stellar.  but if you are not happy with the sound at first, let it play frequently for a few days and it may improve a bit.--------------------------which one to buy?--------------------------if you are trying to decide between the echo and the dot, think carefully about how you plan to use the device.  the single biggest practical difference between the two is that the echo has fuller, better quality sound.  so if you plan to use the device mostly for listening to music, news, podcasts, or whatever, you will probably appreciate the echo is better acoustics.  on the other hand, if you want to use it mainly for voice control of smart home devices, the dot is more than sufficient.  i have a dot in our home theater room that i use exclusively to control the lights in that room.  for that type of single-purpose application anything more than a dot would be overkill.==========bottom line==========although the echo 2nd generation may not have any earth-shattering new features compared with the 1st generation, its significantly lower price and ability to send music to another speaker or stereo system make it a winner.  if you already own a 1st generation echo there probably is not a compelling reason to upgrade because the difference in sound quality is not significant.  but if this is your first echo device you will probably be very pleased with it.  and if you are deciding between the echo and the dot, which one you purchase comes down to how you want to use the device.  for heavy listening, the echo may be preferable for its better acoustics; otherwise, the dot is a great deal -- especially at half the price of the echo!"
2,14,"update: amazon has pushed a software update and sound quality now sounds great.i was originally disappointed in the 2nd gen as my original review (below) shows.  shortly after posting the review amazon reached out to me for additional information.  they contacted me again today and said they took my, and others, feedback regarding the sound quality seriously.  the amazon rep informed me my echo was selected to be part of a test group asked me if i would want to install a new software update to address the problem.  she walked me through the steps to ensure the update was applied and asked me to test the audio (she stayed on the phone while i did this).with my 2nd gen and original 1st gen echo in a multi-room group (that is a really nice feature) i had alexa fire up my playlist.  i was surprised to find the 2nd gen now sounded much improved.  as i walked between rooms with the two echo is i was also surprised that the 2nd gen sounded better than my 1st gen, the bass and mid-range had a better quality.  not believing my own ears i had my wife also give it a listen and she agreed.the amazon rep said they were working with a small group of customers like me to verify the update and they would be pushing the update to all customers very soon (update to my update, looks like amazon is now pushing out the software broadly!).  you can check your software version by using the alexa app and looking at your echo device settings. fyi, after the update my gen2 shows device software version 592452420 (the original was 592452320).other than audio, the gen 2 is nearly identical to the original gen 1 with exception of form factor.  the gen 2 is shorter (5.9"") and wider (3.5"").  for comparison gen 1 was 9.2"" x 3.3"".  the gen 2 has many 'skin' options, i chose the fabric option. comparatively the gen 1 had a look of plastic and metal.  the gen 2 cover is removable so you can replace with other skins.as for responsiveness, gen 2 specs show better microphone array.  from my use i have not noticed anything improved. that said i was very happy with the gen 1 responsiveness to commands, the gen 2 continues to be as responsive.all other functions seem to be the same as gen 1 including blue ring that indicates ""listening"", buttons on top to activate for ""alexa"" and button to mute the microphone array. there is also a 3.5mm jack port and bluetooth to connect to other speakers. there is a design change, with gen 1 you would turn the ring to change volume, that is been replaced with +/- buttons (following same design change as the dot releases).---[original review - 1 star]---i bought my first amazon echo back in 2014.  since then i have added a second echo (1st gen), a tap and 3 dots.  i have added vaux cordless home speaker<u+00a0>vaux cordless home speaker + portable battery for amazon echo dot gen 2 gray/ash<u+00a0>to two of my dots.  i have given echo as gifts.  in other words i am all in on amazon echo system and have been for a long time.amazon advertises this as 2nd generation as ""improved sound"".  i thought the original echo (1 gen) sounded great so i fell for the 2nd gen hook, line and sinker.  unfortunately after listening to it i find it is a sinker indeed, or perhaps a stinker.i did an informal test with my 1st gen and new 2nd gen echo.  i had them both play a set of songs.  i am just going by what my set of ears tells me, but the 2nd gen is disappointing when it comes to sound quality.  while it does seem to have a deeper bass, the overall quality sounds tinnier than the 1st gen.  whatever ""powered by dolby"" is supposed to bring to the 2nd get unit is not much, this 2nd gen is just not up to par with the original when it comes to audio.the unit otherwise functions like the original and other than the form factor i see nothing that is an improvement.  i have not seen that it ""hears"" better.  and it does not sound better for sure.perhaps i am too focused on the sound of echo 2nd gen, but when amazon makes it a point to expressly market it as being ""improved sound"", i would expect the sound to be noticeably improved. it does not and therefore give it a 1 star rating."
3,7,"i love my echo, it is stylish, loud<f0><u+009f><u+0094><u+008a>, has very nice bass. it comes with everything you need to get started and so simple to sit up. in other words this one is a keeper. the new echo is awesome."
4,14,"sound is not great. a review of the echo as a music speaker.we are new echo users and have never owned the 1st generation products. we have two 2nd gen dots and one of the new echos. while the echo sounds better than the dots, it is inferior to even mid range bluetooth speakers. i understand it is not supposed to be a stand alone speaker but amazon touted this as ""dynamic bass throughout the room."" not even close. the low end is not very good and the sound starts to distort at max  volumes. my comparisons are based two older model speakers, jbl charge 2 and bose mini while listening to classic rock, pop and classical music.all other features work as advertised."
5,14,"i¡¯ve had my echo 2 for over a week now. it is our 8th alexa product, but our first full size echo. we have several dots throughout the house, some with auxiliary speakers and some not. the echo sound quality is far superior to any of them, including those with auxiliary speakers, and speech pickup is very good. i placed this echo in a large room where the acoustics are challenging. dots placed there in the past had great difficulty hearing and understanding commands, but the echo has performed flawlessly. we are so pleased, i¡¯m planning to order several more to replace some of our dots. we are also very pleased with the look of this new echo. the interchangeable sleeve is very classy looking and blends well into our decor."
6,14,"<u+00a0>my mother is 84 years old and she struggles talking on a cell phone, and i struggle to hear her. she kept bumping the cell phone up against her chin, and when i talked to her i hear numerous beeps when we are talking like someone was dialing out. she is having trouble holding the cell phone up to her head. i talked my mom in to getting an amazon echo as a gift from me. my sister helped to set it up since i am in another state. when you make a call with the echo, it uses the phone number associated with the cell phone that is on your amazon account. so i changed that to my mothers cell number. so when she makes a call, it shows up as her cell phone number on the caller id. now all she has to do is say ""alexa call greg"", and the echo dials me up, and anyone in her contact list. she rests comfortably in her easy chair, and she can hear everything i say through the echo, and i can hear everything my mother says very clearly. she can also ask alexa to dial any number, that is very helpful as well. this feature alone was well worth the price of buying an amazon echo. my mother is learning very quickly all the other skills alexa is able to do, weather, music, audiobooks, trivia questions, etc. now that i am able to talk to my mother with ease.i would have to say this is the best gadget i have ever bought on amazon.attached is a voice mail from my mother, and how much she loves the amazon echo"
7,14,"sorry to report this (along with the others i am seeing in the initial reviews) - the echo 2nd gen sound is not as good as the original. bass seems to be cut off at the low end, midrange is weak, lots of emphasis on the high end, overall fidelity seems to be reduced. odd that it is been advertised as ""improved sound"" and ""bose"". i thought this might just be true at low volume, but listened again this morning, running the volume up, and there is a cutoff on the low bass at high volume, too. at the least, it should auto-compensate with volume level - higher bass at lower volume, etc.i think that there is going to be enough static from users that amazon should just admit the problem, pull back the echo 2 now, fix the issue, & replace these first units with revised ones. i wonder who did the beta-testing? the unit is certainly heavy enough to have a large bass speaker magnet .. maybe this can be fixed in software - can amazon update echo equalization via wifi? are the speakers actually high quality?and - they have removed the ""ring"" volume control on top (retaining both the +/- buttons and the voice-activated incremental controls). i only use the ring control on my echo 1 - it is not ""stepped"" - i can set an exact volume.  i miss it already.while we are here, how about fixing things so that all sound intensities (volumes) are the same? alexa is voice, music across the genres, books being read by alexa or by audible folks, ""drop-in"" and ordinary phone calls - fix this so that all have the same sound intensity. as it is now, the drop-in calls are much louder than alexa is voice, for example. also, add a good tone equalizer control within the alexa app while you are at it. and - how about a speed control for alexa is voice when she is reading a book? lots of other text-to-speech gadgets have it - it is a necessity for older folks like my mother (for whom the echo is a great life-enhancer).finally - adding potential injury to insult - who decided to ship the entire batch of pre-orders to be dropped on doorsteps on halloween night? the goblins approach a home but no one is there, see a nice ""treat"" in the big amazon box, and, poof! - magically gone! amazon staff need access to a calendar showing halloween in big orange letters. the preorders were not even supposed to ship until nov. 1.on the plus side: the microphones are probably even better - i can ask alexa to stop or increase volume even while playing very loud music. amazing!  plus, i like the gray cloth cover. and, all of the usual things work very well, including the new ""call any phone by just asking alexa to do it"" feature. it does, in fact, allow calls to phones in the u.s. and canada (and probably mexico) for free. very nice.amazon - just fix the sound, return my sound control ring, put an equalizer in the alexa app and we will be fine. but - do not wait! you are going to have a lot of returns on this one; will probably lose momentum to the competition.i will return my echo 2 and have already ordered its replacement - an echo first gen that was still available on a competitor is site. i do like the echo - a lot! ... just not the 2."
8,14,"i was very exited about trying out the new echo 2nd generation.  after all, i was cautious and did not buy the 1st generation but after seeing all the reviews about the it is decided it is time to get mine. i waited to buy the 2nd gen as like anyone else the ad said it will be improved quality on the 1st generation.i was pleasantly surprised when i heard the music play.  it did not sound as good as they tried to sell it. poor quality from the music though alexa is voice is sharp and crisp. the voice control is very responsive even from my other room which is impressive.  all the functions performed exceptional for me except the music playback which was the most important feature i wanted. i planned on buying the 3 pack for the entire home, but that is on hold unless there is significant audio improvement."
9,14,"mixed feelings about this echo - as a gen 1 owner i certainly expected much more.  on the day i received this i compared my gen 1 and gen 2 echos side by side using different wake words.  the sound from the original was much better - especially at higher volumes.  however, the microphone is better on this gen 2 - i was able to whisper the wake work from a few feet away and it responded, while the gen 1 echo did not.  also, i have a few echos and dots in my home and this one is better at responding when it is the closest device.  with the gen 1, i could be 10 feet away from it and 20 feet away from a dot in another room and the dot would respond.  but now the gen 1 responds - as it should.as for the design - i do like the smaller form factor of the gen 2.  unfortunately for me, i keep this device on a ledge between rooms and the jack is now very visible.  on the gen 1, the jack is on the bottom of the unit, on the gen 2 it is on the back.  overall, i am going to keep this, but think it could have been designed a bit better - both in sound and looks."
