,0,1,0,1,0,1
0,quality,0.01756969112920406,echo,0.0589174840332292,echo,0.05008830308064595
1,amazon,0.017503178293671675,amazon,0.04447421598488497,quality,0.013919387774073934
2,home,0.014625411081043139,home,0.01745010929213305,room,0.008018406652654686
3,control,0.013971889074607703,quality,0.014642068623763377,listen,0.007137040155707056
4,prime,0.013964139024385265,house,0.013663368753618177,command,0.006161212777253315
5,house,0.008211985918177449,volume,0.011571891810792679,family,0.005339224508284853
6,worked,0.008140979408931763,news,0.00940283922095216,connect,0.0052613524646583035
7,simple,0.008130808574531414,help,0.00864534594939803,app,0.00524265832752458
8,tech,0.007720321933819865,room,0.007542639764508066,google,0.0051545731269294955
9,understand,0.007423416469451112,bluetooth,0.006649620475625759,list,0.0051337652170072
10,app,0.006752325532026184,update,0.005969196665183723,learn,0.004867268251612508
11,update,0.006466450414037981,kid,0.005096424005760445,recommend,0.004749825296214425
12,ability,0.005755251752490683,overall,0.005049517690108944,home,0.004631703749797508
13,impressed,0.005458951799363351,friend,0.004718494868197269,setup,0.0043364398067047925
14,list,0.00528230181151656,learning,0.004602287461673768,understand,0.004321381705355415
15,listen,0.005253958433109349,life,0.0044568278299782944,purchase,0.004060266349444162
16,friend,0.005229017955770769,purchase,0.004347801547417324,information,0.004016453569639874
17,skill,0.005141624802235203,issue,0.004280040864467248,problem,0.0038656634477964437
18,room,0.004965341222999242,thought,0.0040189237703328815,item,0.0036933265415603203
19,favorite,0.0047923942826583405,google,0.0035676965352444724,order,0.003439332143169223
20,software,0.004747487759522637,model,0.0035241505570090892,small,0.003375173846811663
21,change,0.0044063937083841515,fine,0.003382632245923378,try,0.0033165187735319248
22,pandora,0.004295814015244561,morning,0.0031920427192348977,purchased,0.0033125625563879667
23,helpful,0.004193834807057433,response,0.0030778132659710217,listening,0.003241828363634456
24,radio,0.00415831231606956,wanted,0.0029969091952078207,radio,0.003208712321130314
25,free,0.004050261304690157,feel,0.0029376947813678886,audio,0.0031762387426094055
26,wanted,0.003827891705483465,app,0.0028594403613276483,tv,0.003137173139201218
27,connect,0.0037924640374115896,control,0.002853902080661394,size,0.003010684328560873
28,morning,0.0037899465659648884,different,0.0028017351961207044,system,0.0029959368317274393
29,convenient,0.003646891883763264,impressed,0.0027697534892331963,wifi,0.0029391493997540544
